ID,PLAYER,TEAM,POSITION,AGE,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP
1,Whit Merrifield,KC,2B,33,162,664,97,184,42,3,10,74,40,4,40,103,0,12,4
2,Marcus Semien,TOR,2B,32,162,652,115,173,39,2,45,102,15,1,66,146,0,3,3
3,Tommy Edman,STL,2B,27,159,641,91,168,41,3,11,56,30,5,38,95,2,4,6
4,Bo Bichette,TOR,SS,24,159,640,121,191,30,1,29,102,25,1,40,137,0,4,6
5,Isiah Kiner-Falefa,TEX,SS,27,158,635,74,172,25,3,8,53,20,5,28,90,1,2,11
6,Ozzie Albies,ATL,2B,25,156,629,103,163,40,7,30,106,20,4,47,128,0,7,3
7,David Fletcher,LAA,2B,28,157,626,74,164,27,3,2,47,15,3,31,60,6,1,1
8,Jonathan Schoop,DET,2B,30,156,623,85,173,30,1,22,84,2,0,37,133,0,8,6
9,Salvador Perez,KC,C,32,161,620,88,169,24,0,48,121,1,0,28,170,0,4,13
10,Mitch Haniger,SEA,OF,31,157,620,110,157,23,2,39,100,1,0,54,169,0,8,9
11,J.P. Crawford,SEA,SS,27,160,619,89,169,37,0,9,54,3,6,58,114,1,4,5
12,Vladimir Guerrero,TOR,1B,23,161,604,123,188,29,1,48,111,4,1,86,110,0,2,6
13,Kyle Seager,SEA,3B,34,159,603,73,128,29,1,35,101,3,1,59,161,0,4,4
14,Paul Goldschmidt,STL,1B,35,158,603,102,177,36,2,31,99,12,0,67,136,0,5,4
15,Cedric Mullins,BAL,OF,27,159,602,91,175,37,5,30,59,30,8,59,125,1,4,8
16,Jose Altuve,HOU,2B,32,146,601,117,167,32,1,31,83,5,3,66,91,1,6,4
17,Freddie Freeman,ATL,1B,33,159,600,120,180,25,2,31,83,8,3,85,107,0,2,8
18,DJ LeMahieu,NYY,3B,34,150,597,84,160,24,1,10,57,4,2,73,94,0,5,4
19,Nolan Arenado,STL,3B,31,157,593,81,151,34,3,34,105,2,0,50,96,0,7,3
20,Rafael Devers,BOS,3B,25,156,591,101,165,37,1,38,113,5,5,62,143,0,4,7
21,Austin Riley,ATL,3B,25,160,590,91,179,33,1,33,107,0,1,52,168,0,8,12
22,Dansby Swanson,ATL,SS,28,160,588,78,146,33,2,27,88,9,3,52,167,1,7,5
23,Jorge Polanco,MIN,SS,29,152,588,97,158,35,2,33,98,11,6,45,118,0,6,5
24,Adolis Garcia,TEX,OF,29,149,581,77,141,26,2,31,90,16,5,32,194,0,4,5
25,Ty France,SEA,2B,28,152,571,85,166,32,1,18,73,0,0,46,106,0,6,27
26,J.D. Martinez,BOS,OF,35,148,570,92,163,42,3,28,99,0,0,55,150,0,5,3
27,Jake Cronenworth,SD,2B,28,152,567,94,151,33,7,21,71,4,3,55,90,3,3,10
28,Jose Abreu,CWS,1B,35,152,566,86,148,30,2,30,117,1,0,61,143,0,10,22
29,Matt Olson,OAK,1B,28,156,565,101,153,35,0,39,111,4,1,88,113,0,11,9
30,Carlos Santana,KC,1B,36,158,565,66,121,15,0,19,69,2,0,86,102,0,5,3
31,Manny Machado,SD,3B,30,153,564,92,157,31,2,28,106,12,3,63,102,0,11,2
32,Pete Alonso,NYM,1B,27,152,561,81,147,27,3,37,94,3,0,60,127,0,4,12
33,Bryan Reynolds,PIT,OF,27,159,559,93,169,35,8,24,90,5,2,75,119,0,4,8
34,Nathaniel Lowe,TEX,1B,27,157,557,75,147,24,3,18,72,8,0,80,162,0,3,2
